sk_fato,fk_tempo,fk_local,fk_ensino,fk_administrativa,nota_saeb_matematica,nota_saeb_portugues,nota_saeb_media,taxa_aprovacao,valor_ideb_alcancado,valor_ideb_meta,atingiu_meta
189,3,2,3,1,296.55,287.28,5.155141,83.3,4.3,3.6,Sim
190,4,2,3,1,273.16,275.91,4.65642,99.6,4.6,3.8,Sim
191,5,2,3,1,298.91,295.56,5.312239,66.2,3.5,,
192,2,2,3,4,263.7,240.9,3.999453,84.8,3.4,,
193,3,2,3,4,296.55,287.28,5.155141,83.3,4.3,3.6,Sim
194,4,2,3,4,273.16,275.91,4.65642,99.6,4.6,3.8,Sim
195,5,2,3,4,298.91,295.56,5.312239,66.2,3.5,,
196,2,3,3,1,251.27,242.65,3.851072,77.2,3.0,,
197,3,3,3,1,254.45,259.45,4.147232,80.1,3.3,3.2,Sim
198,4,3,3,1,,,,100.0,,3.4,
199,5,3,3,1,273.29,263.29,4.469324,85.9,3.8,,
200,2,3,3,4,251.27,242.65,3.851072,77.2,3.0,,
201,3,3,3,4,254.45,259.45,4.147232,80.1,3.3,3.2,Sim
202,4,3,3,4,,,,100.0,,3.4,
203,5,3,3,4,273.29,263.29,4.469324,85.9,3.8,,
204,2,4,3,1,263.92,262.96,4.332783,77.8,3.4,,
205,3,4,3,1,279.37,277.93,4.773879,74.8,3.6,3.6,Sim
206,4,4,3,1,253.28,256.66,4.089033,95.4,3.9,3.8,Sim
207,5,4,3,1,272.9,278.3,4.688547,78.9,3.7,,
208,3,4,3,3,288.21,279.66,4.923934,93.7,4.6,,
209,4,4,3,3,,,,75.3,,4.8,
210,5,4,3,3,293.54,287.48,5.11586,95.2,4.9,,
211,2,4,3,4,267.58,265.49,4.422061,83.7,3.7,,
212,3,4,3,4,282.58,278.56,4.828394,83.5,4.0,3.9,Sim
213,4,4,3,4,268.94,271.0,4.523648,87.0,3.9,4.1,Não
214,5,4,3,4,278.37,280.73,4.80175,83.7,4.0,,
215,2,5,3,1,252.41,240.26,3.831305,86.4,3.3,,
216,3,5,3,1,269.79,265.36,4.451155,86.4,3.8,3.5,Sim
217,4,5,3,1,239.33,247.04,3.749094,100.0,3.7,3.7,Sim
218,5,5,3,1,278.91,262.79,4.540772,94.2,4.3,,
219,2,5,3,4,252.41,240.26,3.831305,86.4,3.3,,
220,3,5,3,4,269.79,265.36,4.451155,86.4,3.8,3.5,Sim
221,4,5,3,4,239.33,247.04,3.749094,100.0,3.7,3.7,Sim
222,5,5,3,4,278.91,262.79,4.540772,94.2,4.3,,
223,2,6,3,1,270.57,263.47,4.433816,75.3,3.3,,
224,3,6,3,1,293.77,286.69,5.107264,85.3,4.4,3.6,Sim
225,4,6,3,1,274.1,274.72,4.651808,98.7,4.6,3.8,Sim
226,5,6,3,1,,,,84.5,,,
227,2,6,3,4,270.57,263.47,4.433816,75.3,3.3,,
228,3,6,3,4,293.77,286.69,5.107264,85.3,4.4,3.6,Sim
229,4,6,3,4,274.1,274.72,4.651808,98.7,4.6,3.8,Sim
230,5,6,3,4,,,,84.5,,,
